"","communication_channel","call_duration","call_frequency","previous_campaign_outcome","conversion_status","geoid","lead_source","update_me","quater_res","len_business"
"7848","mobile",60,5,"unidentified","not_converted","MT","Organic Search","Y","2023 Q1",0
"7849","unidentified",27,8,"unidentified","not_converted","OH","Google","N","2023 Q2",9
"7850","mobile",109,1,"unidentified","not_converted","AL","Google","N","2024 Q1",0
"7852","mobile",258,4,"unidentified","not_converted","LA","Google","N","2023 Q3",0
"7853","mobile",418,2,"unidentified","not_converted","GA","Olark Chat","N","2023 Q3",4
"7854","mobile",1148,1,"other_outcome","converted","CO","Direct Traffic","Y","2024 Q2",0
"7856","unidentified",135,5,"unidentified","not_converted","AZ","Organic Search","N","2023 Q2",0
"7857","mobile",698,2,"unsuccessful","converted","DC","Organic Search","N","2023 Q2",7
"7858","mobile",141,1,"unidentified","not_converted","OH","Direct Traffic","N","2024 Q2",0
"7859","unidentified",202,1,"unidentified","not_converted","TX","Direct Traffic","N","2024 Q2",0
"7860","landline",45,1,"unidentified","not_converted","WA","Olark Chat","N","2023 Q2",19
"7861","mobile",77,2,"unsuccessful","not_converted","DE","Olark Chat","N","2023 Q1",19
"7862","mobile",638,6,"unidentified","converted","WI","Google","N","2024 Q1",18
"7863","landline",265,5,"unidentified","not_converted","PA","Google","Y","2023 Q3",7
"7864","mobile",374,5,"unidentified","not_converted","RI","Direct Traffic","N","2023 Q3",5
"7865","mobile",108,1,"unidentified","not_converted","WA","Olark Chat","N","2024 Q2",0
"7866","mobile",193,4,"unsuccessful","not_converted","DE","Google","Y","2024 Q1",0
"7867","mobile",166,3,"unidentified","not_converted","NM","Organic Search","N","2023 Q2",0
"7868","mobile",110,4,"unidentified","not_converted","VA","Organic Search","Y","2023 Q4",6
"7869","unidentified",73,1,"unidentified","not_converted","SC","Reference","N","2023 Q2",0
"7870","unidentified",35,1,"unidentified","not_converted","OK","Olark Chat","N","2023 Q4",17
"7871","unidentified",238,2,"unidentified","not_converted","NM","Direct Traffic","N","2023 Q4",11
"7872","unidentified",110,1,"unidentified","not_converted","AL","Organic Search","N","2023 Q1",14
"7873","mobile",268,2,"unidentified","not_converted","ME","Direct Traffic","Y","2024 Q1",3
"7874","mobile",69,4,"unsuccessful","not_converted","GA","Google","Y","2023 Q1",6
"7875","unidentified",164,2,"unidentified","not_converted","WY","Google","Y","2023 Q2",9
"7876","unidentified",11,1,"unidentified","not_converted","NC","Direct Traffic","Y","2023 Q2",0
"7877","unidentified",379,1,"unidentified","not_converted","NH","Google","N","2023 Q2",0
"7878","mobile",384,5,"unidentified","not_converted","IA","Olark Chat","N","2023 Q2",4
"7879","unidentified",157,1,"unidentified","not_converted","KS","Direct Traffic","Y","2024 Q2",4
"7880","mobile",523,2,"unidentified","not_converted","MN","Google","N","2023 Q3",0
"7881","mobile",47,1,"unidentified","not_converted","VA","Olark Chat","N","2023 Q3",0
"7882","mobile",387,2,"successful","not_converted","MI","Google","N","2023 Q3",0
"7883","mobile",253,2,"unsuccessful","not_converted","DC","","Y","2023 Q3",3
"7884","unidentified",374,4,"unidentified","not_converted","NM","Olark Chat","Y","2024 Q2",0
"7885","unidentified",56,1,"unidentified","not_converted","TX","Direct Traffic","N","2024 Q1",16
"7886","mobile",158,1,"unidentified","not_converted","UT","Google","N","2023 Q2",14
"7887","mobile",846,5,"unidentified","converted","MS","Google","Y","2023 Q3",0
"7888","mobile",281,3,"other_outcome","converted","WY","Google","N","2023 Q1",9
"7889","mobile",619,2,"unidentified","not_converted","ME","Direct Traffic","N","2023 Q3",0
"7890","mobile",177,2,"unidentified","not_converted","MI","Olark Chat","N","2023 Q2",20
"7892","mobile",115,3,"unidentified","not_converted","NH","Direct Traffic","Y","2024 Q2",4
"7893","unidentified",21,1,"unidentified","not_converted","KS","Google","N","2023 Q3",18
"7894","mobile",351,2,"unidentified","not_converted","KY","Direct Traffic","N","2023 Q3",0
"7896","landline",12,4,"other_outcome","not_converted","TX","Olark Chat","N","2023 Q2",19
"7897","unidentified",388,7,"unidentified","not_converted","NY","Google","N","2023 Q2",1
"7898","unidentified",304,4,"unidentified","not_converted","MI","Direct Traffic","N","2023 Q2",12
"7899","mobile",176,2,"unidentified","not_converted","IL","Olark Chat","N","2023 Q1",7
"7900","unidentified",214,5,"unidentified","not_converted","TX","Organic Search","N","2024 Q2",11
"7901","unidentified",171,2,"unidentified","not_converted","CA","Google","N","2023 Q4",12
"7902","mobile",83,5,"unidentified","not_converted","VT","Google","N","2023 Q4",0
"7903","unidentified",201,6,"unidentified","not_converted","TX","Olark Chat","N","2023 Q2",14
"7904","mobile",119,9,"unidentified","not_converted","IN","Google","N","2023 Q1",18
"7905","mobile",178,1,"unidentified","not_converted","NH","Direct Traffic","N","2023 Q4",18
"7906","unidentified",14,13,"unidentified","not_converted","KY","Google","N","2023 Q2",8
"7907","mobile",155,1,"unidentified","not_converted","NC","Google","N","2024 Q2",0
"7908","landline",122,2,"unidentified","not_converted","CO","Olark Chat","N","2023 Q4",17
"7909","unidentified",55,1,"unidentified","not_converted","UT","Google","Y","2024 Q2",4
"7910","unidentified",326,1,"unidentified","not_converted","AK","Direct Traffic","Y","2023 Q3",1
"7911","mobile",132,1,"unidentified","not_converted","NE","Google","Y","2024 Q2",12
"7912","mobile",933,1,"unidentified","converted","CO","Google","N","2023 Q3",15
"7913","unidentified",257,1,"unidentified","not_converted","KY","Organic Search","N","2023 Q4",8
"7914","unidentified",833,2,"unidentified","converted","GA","Olark Chat","N","2023 Q1",18
"7915","mobile",142,2,"unidentified","not_converted","OH","Direct Traffic","N","2023 Q3",6
"7916","mobile",132,1,"unidentified","not_converted","VA","Direct Traffic","Y","2024 Q2",0
"7917","unidentified",69,19,"unidentified","not_converted","OK","","N","2023 Q3",2
"7918","unidentified",34,3,"unidentified","not_converted","OH","Google","Y","2024 Q2",5
"7919","mobile",3322,2,"unidentified","not_converted","AR","Direct Traffic","N","2024 Q1",12
"7920","mobile",96,1,"unidentified","not_converted","HI","Google","N","2023 Q3",20
"7921","unidentified",66,7,"unidentified","not_converted","KS","Direct Traffic","Y","2023 Q4",19
"7922","landline",246,3,"unidentified","not_converted","ND","Direct Traffic","N","2023 Q4",4
"7923","mobile",159,8,"unidentified","not_converted","NV","Direct Traffic","N","2024 Q1",0
"7924","mobile",384,1,"successful","not_converted","SD","Olark Chat","Y","2023 Q3",18
"7925","mobile",649,1,"unsuccessful","converted","MT","Direct Traffic","N","2023 Q4",13
"7926","mobile",299,5,"unidentified","not_converted","HI","Direct Traffic","Y","2024 Q2",0
"7927","unidentified",13,1,"unidentified","not_converted","IN","Direct Traffic","N","2024 Q2",18
"7928","mobile",279,11,"unidentified","not_converted","CA","Google","Y","2023 Q3",0
"7929","mobile",240,5,"unidentified","not_converted","TX","Google","N","2023 Q4",0
"7930","mobile",92,4,"unidentified","not_converted","OR","Google","Y","2023 Q3",8
"7931","mobile",97,1,"unidentified","not_converted","TX","Organic Search","N","2023 Q2",13
"7932","mobile",112,2,"unidentified","not_converted","NM","Direct Traffic","N","2023 Q4",0
"7933","mobile",706,3,"unidentified","not_converted","CA","google","Y","2023 Q2",8
"7934","mobile",323,3,"unidentified","not_converted","OK","Direct Traffic","Y","2023 Q1",15
"7935","mobile",129,2,"unidentified","not_converted","CO","Google","Y","2024 Q2",12
"7937","landline",218,2,"unidentified","not_converted","CO","Direct Traffic","N","2023 Q4",19
"7938","mobile",150,8,"unidentified","not_converted","MI","Reference","N","2023 Q3",0
"7939","mobile",136,3,"other_outcome","not_converted","LA","Direct Traffic","N","2023 Q1",0
"7940","mobile",125,1,"unidentified","not_converted","AR","Google","N","2023 Q1",20
"7941","mobile",258,1,"successful","converted","DC","Organic Search","N","2023 Q1",0
"7942","mobile",600,2,"unsuccessful","not_converted","CA","Google","Y","2024 Q1",0
"7943","mobile",130,2,"unidentified","not_converted","NM","Olark Chat","Y","2023 Q3",0
"7944","mobile",151,2,"unsuccessful","not_converted","OR","Direct Traffic","Y","2023 Q1",13
"7945","mobile",136,1,"unidentified","not_converted","MS","Olark Chat","N","2023 Q3",0
"7946","mobile",17,5,"other_outcome","not_converted","WY","Google","N","2024 Q1",11
"7947","unidentified",119,2,"unidentified","not_converted","ME","Google","N","2024 Q2",18
"7948","mobile",306,2,"unidentified","not_converted","IA","Olark Chat","Y","2024 Q2",6
"7949","unidentified",63,9,"unidentified","not_converted","VA","Live Chat","N","2023 Q4",9
"7950","mobile",222,3,"unidentified","not_converted","VA","Google","Y","2023 Q4",0
"7952","landline",421,3,"unidentified","not_converted","OR","Organic Search","Y","2024 Q2",0
"7953","mobile",443,1,"unidentified","not_converted","IA","Organic Search","Y","2023 Q2",6
"7954","mobile",130,2,"unsuccessful","not_converted","OK","Google","Y","2023 Q1",9
"7955","unidentified",1617,1,"unidentified","converted","AZ","Reference","N","2024 Q2",15
"7956","mobile",470,1,"successful","converted","RI","Organic Search","N","2024 Q1",11
"7957","mobile",818,2,"unsuccessful","not_converted","GA","Google","Y","2024 Q2",9
"7958","unidentified",154,5,"unidentified","not_converted","HI","Organic Search","Y","2024 Q2",0
"7959","mobile",101,1,"unidentified","not_converted","SC","Reference","Y","2023 Q2",6
"7960","landline",359,2,"unidentified","not_converted","TX","Welingak Website","N","2023 Q2",0
"7961","mobile",344,1,"unsuccessful","converted","CA","Google","Y","2024 Q2",3
"7962","unidentified",198,5,"unidentified","not_converted","TX","Direct Traffic","Y","2024 Q2",18
"7963","mobile",224,1,"unsuccessful","not_converted","MO","Referral Sites","N","2023 Q2",5
"7964","unidentified",131,6,"unidentified","not_converted","NE","Direct Traffic","N","2024 Q1",9
"7965","mobile",52,2,"unidentified","not_converted","WY","Direct Traffic","N","2023 Q1",7
"7966","unidentified",24,1,"unidentified","not_converted","SD","Google","Y","2023 Q2",19
"7967","mobile",290,1,"unidentified","converted","KY","Organic Search","N","2023 Q1",18
"7968","mobile",695,2,"unidentified","converted","ME","Google","N","2023 Q3",14
"7969","unidentified",58,3,"unidentified","not_converted","CA","Google","Y","2024 Q1",20
"7970","mobile",148,1,"unsuccessful","converted","WY","Olark Chat","Y","2023 Q1",0
"7971","unidentified",23,2,"unidentified","not_converted","NV","Direct Traffic","Y","2023 Q2",0
"7972","landline",56,2,"unidentified","not_converted","WV","Olark Chat","N","2023 Q3",11
"7973","mobile",50,4,"unidentified","not_converted","IL","Google","N","2023 Q2",0
"7974","unidentified",33,1,"unidentified","not_converted","PA","Google","N","2023 Q3",11
"7975","unidentified",247,1,"unidentified","not_converted","CO","Reference","N","2024 Q1",15
"7976","mobile",1005,5,"successful","converted","DE","Organic Search","N","2023 Q1",0
"7977","unidentified",192,1,"unidentified","not_converted","PA","Google","N","2023 Q4",15
"7978","mobile",739,1,"unidentified","converted","OK","Direct Traffic","N","2023 Q1",13
"7979","mobile",530,1,"unidentified","converted","NM","Direct Traffic","Y","2023 Q1",17
"7980","unidentified",144,15,"unidentified","not_converted","SC","Olark Chat","N","2023 Q2",2
"7982","mobile",862,1,"unidentified","converted","MS","Olark Chat","N","2023 Q1",6
"7983","mobile",76,2,"unidentified","not_converted","MD","Reference","N","2024 Q1",0
"7984","unidentified",117,1,"unidentified","not_converted","AK","Olark Chat","Y","2023 Q1",10
"7985","unidentified",112,3,"unidentified","not_converted","WI","Google","Y","2023 Q3",9
"7986","mobile",408,2,"other_outcome","not_converted","WY","Google","N","2023 Q3",19
"7987","mobile",193,1,"other_outcome","not_converted","IA","Olark Chat","N","2024 Q2",5
"7988","mobile",125,1,"unidentified","not_converted","TX","Google","Y","2023 Q3",8
"7989","mobile",74,1,"unidentified","not_converted","TX","Olark Chat","N","2024 Q1",1
"7990","unidentified",133,3,"unidentified","not_converted","CA","Direct Traffic","N","2024 Q1",13
"7991","mobile",106,1,"other_outcome","not_converted","KS","Google","Y","2023 Q4",0
"7992","mobile",152,1,"unidentified","not_converted","WY","Direct Traffic","Y","2023 Q2",0
"7993","unidentified",102,1,"unidentified","not_converted","NJ","Google","N","2024 Q1",14
"7995","unidentified",46,1,"unidentified","not_converted","NJ","Google","Y","2023 Q1",0
"7996","mobile",50,3,"unsuccessful","not_converted","TX","Direct Traffic","N","2023 Q3",1
"7997","landline",8,7,"other_outcome","not_converted","WA","Direct Traffic","Y","2023 Q2",0
"7998","landline",92,3,"other_outcome","not_converted","AR","Direct Traffic","Y","2023 Q3",0
"7999","mobile",75,1,"unidentified","not_converted","MS","Google","N","2023 Q4",16
"8000","mobile",124,2,"other_outcome","converted","TX","Olark Chat","Y","2023 Q2",9
"8002","unidentified",222,4,"unidentified","not_converted","CO","Organic Search","Y","2023 Q4",20
"8003","unidentified",175,2,"unidentified","not_converted","KS","Google","N","2023 Q4",18
"8004","landline",104,5,"successful","not_converted","DC","Direct Traffic","Y","2024 Q1",3
"8005","unidentified",314,2,"unidentified","not_converted","NY","Google","Y","2024 Q1",19
"8007","mobile",96,1,"unidentified","not_converted","WI","Olark Chat","N","2023 Q4",0
"8008","mobile",143,1,"unidentified","not_converted","KY","Google","N","2024 Q2",5
"8009","unidentified",55,10,"unidentified","not_converted","FL","Organic Search","N","2023 Q1",8
"8010","unidentified",13,12,"unidentified","not_converted","TX","Google","Y","2023 Q4",0
"8011","mobile",202,2,"unidentified","not_converted","NJ","Olark Chat","N","2024 Q1",18
"8012","unidentified",261,5,"unidentified","not_converted","TX","Direct Traffic","N","2024 Q2",9
"8013","mobile",250,2,"other_outcome","not_converted","WV","Organic Search","N","2023 Q3",6
"8014","unidentified",159,2,"unidentified","not_converted","ND","Direct Traffic","N","2023 Q2",13
"8015","unidentified",120,2,"unidentified","not_converted","HI","Organic Search","N","2023 Q1",0
"8016","mobile",290,1,"unidentified","not_converted","AZ","Google","N","2023 Q2",0
"8017","mobile",415,2,"unsuccessful","not_converted","WV","Google","N","2023 Q3",3
"8018","unidentified",151,1,"unidentified","converted","TX","Reference","Y","2023 Q1",0
"8019","unidentified",98,4,"unidentified","not_converted","DE","Google","N","2023 Q2",0
"8022","mobile",139,9,"unidentified","not_converted","AL","Organic Search","Y","2023 Q4",0
"8023","mobile",93,2,"unidentified","not_converted","AZ","Direct Traffic","Y","2023 Q2",15
"8024","unidentified",193,3,"unidentified","not_converted","MN","Olark Chat","N","2023 Q1",6
"8025","mobile",68,4,"successful","not_converted","WY","Google","N","2023 Q3",0
"8026","mobile",220,2,"unidentified","not_converted","IA","Direct Traffic","N","2023 Q4",0
"8027","mobile",343,5,"unidentified","not_converted","NJ","Google","N","2024 Q1",11
"8028","mobile",187,3,"unidentified","not_converted","CA","Olark Chat","N","2023 Q1",10
"8029","mobile",420,3,"unidentified","not_converted","WY","Organic Search","Y","2024 Q2",0
"8030","landline",227,3,"other_outcome","not_converted","TX","Google","Y","2023 Q3",19
"8033","mobile",637,1,"unidentified","converted","MI","Organic Search","N","2023 Q2",1
"8034","mobile",451,1,"unsuccessful","not_converted","TX","Google","Y","2023 Q3",0
"8035","mobile",215,4,"unidentified","not_converted","TX","Direct Traffic","N","2023 Q1",19
"8036","unidentified",108,1,"unidentified","not_converted","TX","Organic Search","Y","2023 Q4",14
"8037","unidentified",306,2,"unidentified","not_converted","MA","Direct Traffic","Y","2023 Q1",6
"8038","unidentified",471,3,"unidentified","not_converted","CA","Google","N","2023 Q2",13
"8039","mobile",542,3,"unsuccessful","not_converted","KS","Google","N","2023 Q4",17
"8040","mobile",159,4,"unidentified","converted","ND","Google","N","2023 Q2",0
"8041","mobile",239,2,"unidentified","not_converted","MN","Direct Traffic","N","2024 Q2",13
"8042","mobile",215,1,"unidentified","not_converted","TX","Welingak Website","N","2024 Q2",9
"8043","mobile",378,7,"unidentified","not_converted","MN","Organic Search","N","2023 Q3",20
"8044","unidentified",257,6,"unidentified","not_converted","AZ","Direct Traffic","Y","2024 Q1",0
"8045","mobile",28,13,"unidentified","not_converted","UT","Welingak Website","N","2023 Q1",0
"8046","mobile",318,1,"successful","converted","HI","Google","N","2024 Q1",0
"8047","unidentified",4,1,"unidentified","not_converted","AK","Direct Traffic","N","2024 Q2",0
"8049","mobile",323,2,"unsuccessful","not_converted","ND","Direct Traffic","N","2024 Q2",6
"8050","mobile",132,1,"unidentified","not_converted","MS","Organic Search","N","2023 Q1",0
"8051","mobile",727,2,"unidentified","converted","NE","Organic Search","N","2024 Q2",1
"8052","mobile",354,2,"unsuccessful","not_converted","KS","Google","Y","2023 Q1",0
"8053","mobile",81,1,"unsuccessful","not_converted","KY","Direct Traffic","N","2023 Q4",18
"8054","unidentified",171,5,"unidentified","not_converted","HI","Reference","Y","2023 Q4",0
"8055","mobile",16,16,"unidentified","not_converted","MD","Google","N","2023 Q4",0
"8056","mobile",147,4,"unidentified","not_converted","VT","Reference","Y","2023 Q2",0
"8057","unidentified",144,6,"unidentified","not_converted","WA","Organic Search","N","2023 Q1",15
"8059","mobile",71,2,"unidentified","not_converted","CA","Google","Y","2023 Q3",9
"8061","unidentified",382,10,"unidentified","not_converted","DE","Organic Search","N","2023 Q2",18
"8062","mobile",108,1,"unidentified","not_converted","ND","Olark Chat","Y","2023 Q3",0
"8063","landline",135,1,"unidentified","converted","WA","Olark Chat","N","2023 Q4",13
"8064","mobile",273,1,"unidentified","not_converted","AZ","Olark Chat","N","2023 Q2",3
"8067","mobile",139,1,"successful","converted","PA","Google","Y","2024 Q1",5
"8068","unidentified",878,3,"unidentified","converted","NJ","Google","N","2023 Q3",14
"8069","mobile",76,4,"unidentified","not_converted","CO","Organic Search","Y","2023 Q3",16
"8070","mobile",159,2,"unidentified","not_converted","NH","Google","N","2023 Q2",0
"8071","mobile",35,14,"unidentified","not_converted","NM","Direct Traffic","N","2023 Q4",0
"8072","landline",716,3,"unidentified","not_converted","TX","Google","N","2023 Q2",10
"8073","mobile",99,4,"unidentified","not_converted","CA","Organic Search","N","2023 Q2",17
"8074","unidentified",112,2,"unidentified","not_converted","TX","Direct Traffic","N","2024 Q1",12
"8075","mobile",327,2,"unidentified","not_converted","MT","Direct Traffic","N","2023 Q3",9
"8077","mobile",121,2,"unidentified","not_converted","MS","Google","N","2023 Q2",1
"8078","mobile",135,1,"unidentified","not_converted","TX","Google","N","2023 Q1",0
"8079","unidentified",138,1,"unidentified","not_converted","AL","Organic Search","N","2023 Q4",20
"8080","unidentified",207,1,"unidentified","not_converted","CA","Organic Search","Y","2024 Q2",12
"8083","mobile",131,1,"successful","not_converted","MO","Reference","Y","2023 Q1",15
"8084","mobile",180,5,"unidentified","not_converted","MI","Google","N","2023 Q3",0
"8085","unidentified",551,1,"unidentified","not_converted","IL","Direct Traffic","Y","2023 Q3",0
"8086","mobile",574,1,"unidentified","not_converted","OR","Google","Y","2023 Q4",8
"8087","mobile",70,9,"unidentified","not_converted","TX","Direct Traffic","N","2023 Q2",4
"8088","landline",77,2,"unidentified","not_converted","OR","Google","Y","2023 Q1",2
"8089","unidentified",368,6,"unidentified","not_converted","ME","Direct Traffic","N","2023 Q1",20
"8090","mobile",210,2,"unidentified","not_converted","FL","Organic Search","N","2024 Q1",10
"8092","mobile",279,1,"unidentified","not_converted","IN","Referral Sites","N","2024 Q2",13
"8093","unidentified",343,1,"unidentified","not_converted","MI","Olark Chat","N","2023 Q4",16
"8094","mobile",55,1,"other_outcome","not_converted","CA","Google","N","2023 Q3",0
"8095","mobile",354,1,"unidentified","not_converted","KS","Direct Traffic","N","2023 Q3",0
"8096","unidentified",127,8,"unidentified","not_converted","MI","Olark Chat","Y","2023 Q3",16
"8097","mobile",181,2,"unidentified","not_converted","DC","Reference","Y","2023 Q2",1
"8098","unidentified",225,1,"unidentified","not_converted","OK","Olark Chat","Y","2023 Q1",0
"8099","mobile",94,1,"unidentified","not_converted","MI","Olark Chat","Y","2023 Q4",0
"8100","mobile",279,2,"unidentified","converted","NM","Olark Chat","Y","2023 Q1",10
"8101","mobile",225,1,"unsuccessful","not_converted","CA","Olark Chat","N","2024 Q2",6
"8102","mobile",328,2,"unidentified","not_converted","CO","Google","N","2024 Q1",5
"8103","mobile",85,1,"unsuccessful","not_converted","MT","Google","N","2023 Q1",7
"8104","mobile",810,1,"unsuccessful","converted","MI","Olark Chat","N","2024 Q2",1
"8105","mobile",588,2,"unsuccessful","not_converted","CA","Google","N","2023 Q4",0
"8106","mobile",186,3,"successful","converted","ME","Direct Traffic","N","2024 Q2",8
"8107","mobile",821,5,"successful","converted","WA","Olark Chat","Y","2023 Q1",8
"8108","mobile",215,2,"unidentified","not_converted","MI","Olark Chat","N","2023 Q3",0
"8109","mobile",110,2,"unsuccessful","not_converted","MA","Welingak Website","N","2024 Q1",8
"8110","unidentified",125,3,"unidentified","not_converted","ND","Direct Traffic","N","2024 Q1",3
"8111","unidentified",30,1,"unidentified","not_converted","AR","Google","N","2023 Q2",18
"8114","mobile",53,2,"unsuccessful","not_converted","VA","Direct Traffic","Y","2023 Q2",1
"8115","unidentified",102,1,"unidentified","not_converted","CA","Google","N","2023 Q3",18
"8116","mobile",154,1,"unidentified","not_converted","DC","Google","Y","2023 Q4",18
"8117","mobile",1452,1,"unsuccessful","converted","MS","Google","Y","2023 Q2",17
"8118","mobile",541,3,"unidentified","converted","OR","Organic Search","Y","2023 Q4",17
"8119","mobile",68,4,"unidentified","not_converted","OH","Google","Y","2023 Q3",5
"8120","mobile",148,2,"other_outcome","not_converted","VT","Organic Search","Y","2023 Q3",0
"8121","unidentified",251,2,"unidentified","not_converted","TX","Direct Traffic","N","2024 Q1",0
"8122","mobile",419,2,"unsuccessful","not_converted","NY","Google","N","2024 Q2",15
"8123","mobile",92,2,"unidentified","not_converted","GA","Olark Chat","N","2023 Q1",19
"8124","mobile",350,7,"unidentified","not_converted","IN","Google","N","2023 Q4",0
"8125","unidentified",563,1,"unidentified","converted","AL","Google","N","2023 Q2",7
"8126","mobile",137,2,"unidentified","not_converted","WA","Direct Traffic","Y","2024 Q2",5
"8127","mobile",499,2,"unidentified","not_converted","CA","Google","Y","2023 Q3",5
"8128","unidentified",388,2,"unidentified","not_converted","TX","Direct Traffic","Y","2024 Q2",0
"8129","landline",43,1,"unidentified","not_converted","NY","Google","N","2024 Q1",11
"8130","unidentified",431,2,"unidentified","not_converted","LA","Google","N","2023 Q4",17
"8131","unidentified",437,2,"unidentified","not_converted","TX","Olark Chat","N","2023 Q4",0
"8132","mobile",451,2,"unidentified","not_converted","HI","Organic Search","N","2024 Q1",18
"8133","mobile",311,1,"unsuccessful","converted","CO","Direct Traffic","N","2023 Q3",14
"8135","unidentified",200,4,"unidentified","not_converted","OH","Direct Traffic","Y","2024 Q2",18
"8136","mobile",301,2,"unsuccessful","not_converted","PA","Olark Chat","Y","2024 Q2",0
"8137","unidentified",364,1,"unidentified","not_converted","IN","Direct Traffic","Y","2024 Q2",20
"8138","mobile",55,1,"unsuccessful","not_converted","OR","Google","N","2023 Q4",1
"8139","unidentified",206,2,"unidentified","not_converted","OK","Organic Search","N","2023 Q1",20
"8141","unidentified",68,1,"unidentified","not_converted","NM","Google","N","2023 Q3",8
"8142","mobile",130,1,"unidentified","not_converted","LA","Direct Traffic","N","2023 Q1",12
"8143","mobile",205,1,"unidentified","not_converted","PA","Google","N","2024 Q1",19
"8144","unidentified",680,2,"unidentified","not_converted","CO","Olark Chat","N","2023 Q3",1
"8145","mobile",300,1,"unidentified","not_converted","CT","Olark Chat","Y","2023 Q3",0
"8146","mobile",301,4,"unidentified","not_converted","VT","Reference","Y","2024 Q1",0
"8147","unidentified",244,2,"unidentified","not_converted","KS","Direct Traffic","N","2023 Q1",20
"8148","unidentified",82,1,"unidentified","not_converted","CO","Direct Traffic","N","2023 Q2",9
"8149","unidentified",453,2,"unidentified","not_converted","AL","Direct Traffic","Y","2023 Q1",8
"8150","mobile",540,2,"unidentified","not_converted","NY","Direct Traffic","N","2023 Q1",16
"8151","mobile",394,2,"other_outcome","not_converted","TX","Google","Y","2023 Q1",0
"8152","mobile",397,2,"unidentified","converted","VA","Olark Chat","N","2024 Q1",0
"8153","unidentified",112,7,"unidentified","not_converted","VA","Direct Traffic","N","2023 Q1",0
"8154","unidentified",259,3,"unidentified","not_converted","IN","Olark Chat","Y","2023 Q4",20
"8156","mobile",115,1,"unidentified","not_converted","UT","Organic Search","N","2023 Q2",20
"8157","unidentified",142,1,"unidentified","not_converted","AR","Direct Traffic","N","2023 Q3",16
"8158","unidentified",43,1,"unidentified","not_converted","AK","Referral Sites","N","2024 Q2",0
"8159","mobile",630,1,"unidentified","converted","FL","Olark Chat","Y","2023 Q2",0
"8160","landline",353,2,"unidentified","converted","DE","Direct Traffic","N","2023 Q1",8
"8161","mobile",55,3,"unidentified","not_converted","TX","Facebook","N","2023 Q4",2
"8162","mobile",160,2,"unsuccessful","not_converted","DC","Direct Traffic","N","2023 Q3",0
"8163","mobile",106,1,"unidentified","not_converted","TX","Direct Traffic","N","2023 Q2",6
"8164","mobile",75,2,"unidentified","not_converted","OK","Google","N","2023 Q4",17
"8166","unidentified",211,1,"unidentified","not_converted","CA","Organic Search","N","2023 Q1",16
"8168","unidentified",121,2,"unidentified","not_converted","DC","Organic Search","N","2024 Q2",0
"8169","unidentified",145,1,"unidentified","not_converted","MD","Olark Chat","N","2024 Q1",15
"8170","mobile",142,1,"unidentified","not_converted","TN","Olark Chat","Y","2023 Q2",12
"8171","mobile",149,4,"unidentified","not_converted","NE","Organic Search","N","2024 Q2",0
"8172","mobile",72,2,"unsuccessful","not_converted","VA","Google","Y","2024 Q2",5
"8173","unidentified",372,5,"unidentified","not_converted","TX","Organic Search","Y","2023 Q2",19
"8174","mobile",699,2,"unidentified","not_converted","TX","Olark Chat","N","2024 Q2",3
"8175","landline",52,3,"other_outcome","not_converted","AL","Organic Search","Y","2024 Q2",4
"8179","mobile",456,1,"unsuccessful","not_converted","CA","Google","Y","2024 Q2",0
"8180","mobile",139,2,"unidentified","not_converted","MA","","N","2023 Q4",0
"8181","mobile",282,2,"unsuccessful","not_converted","CO","Organic Search","N","2023 Q1",8
"8183","mobile",46,4,"unidentified","not_converted","AZ","Welingak Website","N","2023 Q2",20
"8184","mobile",184,1,"unidentified","not_converted","AZ","Google","Y","2023 Q3",20
"8185","mobile",90,1,"unsuccessful","not_converted","CO","Olark Chat","N","2024 Q1",0
"8186","mobile",206,3,"unidentified","not_converted","AL","Google","N","2023 Q4",15
"8187","mobile",99,2,"successful","not_converted","OH","Reference","Y","2023 Q1",16
"8188","mobile",223,2,"unsuccessful","not_converted","TN","Google","N","2023 Q2",0
"8189","mobile",101,5,"unidentified","not_converted","AL","Organic Search","N","2023 Q2",0
"8190","unidentified",38,1,"unidentified","not_converted","DE","Direct Traffic","Y","2023 Q4",20
"8191","mobile",73,5,"unidentified","not_converted","NV","Olark Chat","Y","2023 Q1",6
"8192","mobile",159,1,"unsuccessful","converted","AK","Direct Traffic","N","2023 Q2",16
"8193","unidentified",264,1,"unidentified","not_converted","MT","Direct Traffic","N","2024 Q2",17
"8194","mobile",858,7,"unidentified","not_converted","HI","Referral Sites","N","2024 Q1",15
"8195","mobile",140,2,"unidentified","not_converted","VT","Google","N","2023 Q3",2
"8196","mobile",256,1,"unidentified","not_converted","OK","Direct Traffic","N","2023 Q3",0
"8197","mobile",321,3,"unidentified","not_converted","AZ","Olark Chat","N","2023 Q1",0
"8198","mobile",219,4,"unidentified","not_converted","OK","Direct Traffic","N","2023 Q3",12
"8199","mobile",350,1,"unidentified","not_converted","WI","Direct Traffic","N","2024 Q2",12
"8200","landline",75,10,"unsuccessful","not_converted","IN","Google","Y","2024 Q1",1
"8201","mobile",284,1,"unsuccessful","not_converted","MT","Direct Traffic","N","2023 Q4",20
"8202","mobile",296,2,"unidentified","not_converted","IN","Direct Traffic","N","2023 Q4",18
"8204","unidentified",50,2,"unidentified","not_converted","MI","Organic Search","N","2023 Q2",0
